"","k_neighbor","AUC"
"1",2,0.524853487000482
"2",3,0.524853487000482
"3",4,0.524853487000482
"4",5,0.524853487000482
"5",6,0.516478794262529
"6",7,0.514217095226514
"7",8,0.512633443389806
"8",9,0.510721000929877
"9",10,0.509996244466756
